dataset,group,sample_id,routine_name,variant,gt_latency_s,macro_latency_s,micro_latency_s,final_latency_s,latency_gain_s,latency_gain_pct,validation_pass,rollback_layer_count,diagnostic_depth_with_fail_as_3,runtime_s,failure_type
smart-home,Group3,209,Turn off SmartThings lights and Kasa outlets at bedtime,action_only,8.61,5.8979,NA,5.8979,2.7121,31.5,1,2,2,16.1616,
smart-home,Group3,210,Turn off Hue and Nanoleaf lights at bedtime,full_floweaver,6.52,1.695,1.509,1.509,5.011,76.86,1,2,2,17.34,
smart-home,Group3,210,Turn off Hue and Nanoleaf lights at bedtime,without_rollback,6.52,NA,NA,NA,NA,NA,0,,3,12.4848,rollback_required
smart-home,Group3,210,Turn off Hue and Nanoleaf lights at bedtime,without_micro,6.52,1.695,NA,1.695,4.825,74.0,1,2,2,15.7794,
smart-home,Group3,210,Turn off Hue and Nanoleaf lights at bedtime,action_only,6.52,4.318,NA,4.318,2.202,33.77,1,0,0,13.1784,
smart-home,Group2,211,Turn on Hue and Nanoleaf lights at sunset,full_floweaver,4.97,1.292,1.15,1.15,3.82,76.86,1,1,1,17.34,
smart-home,Group2,211,Turn on Hue and Nanoleaf lights at sunset,without_rollback,4.97,NA,NA,NA,NA,NA,0,,3,12.4848,rollback_required
smart-home,Group2,211,Turn on Hue and Nanoleaf lights at sunset,without_micro,4.97,1.292,NA,1.292,3.678,74.0,1,1,1,15.7794,
smart-home,Group2,211,Turn on Hue and Nanoleaf lights at sunset,action_only,4.97,3.23,NA,3.23,1.74,35.01,1,0,0,13.1784,
smart-home,Group3,212,Blink Philips Hue lights and notify if fridge door left open,full_floweaver,8.64,3.06,2.74,2.74,5.9,68.29,1,1,1,18.86,
smart-home,Group3,212,Blink Philips Hue lights and notify if fridge door left open,without_rollback,8.64,NA,NA,NA,NA,NA,0,,3,13.5792,rollback_required
smart-home,Group3,212,Blink Philips Hue lights and notify if fridge door left open,without_micro,8.64,3.06,NA,3.06,5.58,64.58,1,1,1,17.1626,
smart-home,Group3,212,Blink Philips Hue lights and notify if fridge door left open,action_only,8.64,NA,NA,NA,NA,NA,0,,3,16.5968,action_lifecycle_or_resource_violation
smart-home,Group2,213,Turn off SmartThings scene and Hue lights when leaving home,full_floweaver,5.87,2.037,1.863,1.863,4.007,68.26,1,0,0,18.86,
smart-home,Group2,213,Turn off SmartThings scene and Hue lights when leaving home,without_rollback,5.87,2.037,1.863,1.863,4.007,68.26,1,0,0,15.4652,
smart-home,Group2,213,Turn off SmartThings scene and Hue lights when leaving home,without_micro,5.87,2.037,NA,2.037,3.833,65.3,1,0,0,17.1626,
smart-home,Group2,213,Turn off SmartThings scene and Hue lights when leaving home,action_only,5.87,NA,NA,NA,NA,NA,0,,3,16.5968,action_lifecycle_or_resource_violation
smart-home,Group2,214,Turn on Hue and Nanoleaf lights at sunset,full_floweaver,3.13,0.814,0.724,0.724,2.406,76.87,1,0,0,16.96,
smart-home,Group2,214,Turn on Hue and Nanoleaf lights at sunset,without_rollback,3.13,0.814,0.724,0.724,2.406,76.87,1,0,0,13.9072,
smart-home,Group2,214,Turn on Hue and Nanoleaf lights at sunset,without_micro,3.13,0.814,NA,0.814,2.316,73.99,1,0,0,15.4336,
smart-home,Group2,214,Turn on Hue and Nanoleaf lights at sunset,action_only,3.13,2.141,NA,2.141,0.989,31.6,1,0,0,12.8896,
smart-home,Group4,215,Arm Blink and start Roborock when a Webhook event arrives,full_floweaver,12.11,NA,NA,NA,NA,NA,0,,3,16.58,full_system_failed
smart-home,Group4,215,Arm Blink and start Roborock when a Webhook event arrives,without_rollback,12.11,NA,NA,NA,NA,NA,0,,3,11.9376,unrecovered_counterexample
smart-home,Group4,215,Arm Blink and start Roborock when a Webhook event arrives,without_micro,12.11,NA,NA,NA,NA,NA,0,,3,15.0878,full_system_failed
smart-home,Group4,215,Arm Blink and start Roborock when a Webhook event arrives,action_only,12.11,NA,NA,NA,NA,NA,0,,3,14.5904,full_system_failed
smart-home,Group2,218,Turn off lights and Kasa plugs with one tap,full_floweaver,3.64,1.056,0.95,0.95,2.69,73.9,1,3,3,16.98,
smart-home,Group2,218,Turn off lights and Kasa plugs with one tap,without_rollback,3.64,NA,NA,NA,NA,NA,0,,3,12.2256,rollback_required
smart-home,Group2,218,Turn off lights and Kasa plugs with one tap,without_micro,3.64,NA,NA,NA,NA,NA,0,,3,15.4518,macro_only_validation_gap
smart-home,Group2,218,Turn off lights and Kasa plugs with one tap,action_only,3.64,2.366,NA,2.366,1.274,35.0,1,0,0,12.9048,
smart-home,Group3,228,Activate Home Connect fridge sabbath mode every Friday,full_floweaver,7.77,3.263,2.872,2.872,4.898,63.04,1,2,2,14.04,
smart-home,Group3,228,Activate Home Connect fridge sabbath mode every Friday,without_rollback,7.77,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
smart-home,Group3,228,Activate Home Connect fridge sabbath mode every Friday,without_micro,7.77,NA,NA,NA,NA,NA,0,,3,12.7764,macro_only_validation_gap
smart-home,Group3,228,Activate Home Connect fridge sabbath mode every Friday,action_only,7.77,NA,NA,NA,NA,NA,0,,3,10.6704,action_level_grounding_gap
smart-home,Group2,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,full_floweaver,5.15,1.648,1.483,1.483,3.667,71.2,1,2,2,14.04,
smart-home,Group2,232,Turn off my TP-Link Kasa plug when there's an electricity price spike,without_rollback,5.15,NA,NA,NA,NA,NA,0,,3,10.1088,rollback_required
